key,congress,number,bill_type,is_alive,current_status,title_without_number
108#house_bill=2328,108,2328,house_bill,False,enacted_signed,To designate the facility of the United States Postal Service located at 2001 East Willard Street in Philadelphia, Pennsylvania, as the “Robert A. Borski Post Office Building”.
106#house_bill=2847,106,2847,house_bill,False,referred,Waco Independent Investigation Act of 1999
112#house_bill=3239,112,3239,house_bill,False,referred,Safeguarding Access For Every Medicare Patient Act
109#house_resolution=326,109,326,house_resolution,False,passed_simpleres,Calling for free and fair parliamentary elections in the Republic of Azerbaijan.
109#house_resolution=327,109,327,house_resolution,False,passed_simpleres,Supporting the goals and ideals of National Passport Month.
111#house_bill=2493,111,2493,house_bill,False,referred,Judgment Evading Foreign States Accountability Act of 2009
108#senate_bill=2328,108,2328,senate_bill,False,referred,Pharmaceutical Market Access and Drug Safety Act of 2004
110#house_bill=3584,110,3584,house_bill,False,referred,SCHIP Extension Act of 2007
110#house_resolution=896,110,896,house_resolution,False,passed_simpleres,Recognizing the need to pursue research into the causes, a treatment, and an eventual cure for primary lateral sclerosis, supporting the goals and ideals of Primary Lateral Sclerosis Awareness Month, and for other purposes.
110#house_resolution=897,110,897,house_resolution,False,referred,Recognizing the strategic importance of the African continent and welcoming the establishment of AFRICOM, and for other purposes.
112#house_bill=1040,112,1040,house_bill,False,referred,Freedom Flat Tax Act
110#house_resolution=891,110,891,house_resolution,False,passed_simpleres,Celebrating 35 years of space-based observations of the Earth by the Landsat spacecraft and looking forward to sustaining the longest unbroken record of civil Earth observations of the land.
108#house_bill=919,108,919,house_bill,False,referred,Hometown Heroes Survivors Benefits Act
110#house_bill=3582,110,3582,house_bill,False,referred,Fair Home Health Care Act
110#house_bill=3232,110,3232,house_bill,False,pass_over_house,Travel Promotion Act of 2008
111#house_concurrent_resolution=48,111,48,house_concurrent_resolution,False,referred,Expressing the sense of Congress that national health care reform should ensure that the health care needs of women and of all individuals in the United States are met.
107#house_bill=634,107,634,house_bill,False,referred,Straight Talk on Social Security Act of 2001
112#house_bill=1048,112,1048,house_bill,False,referred,Tyler Clementi Higher Education Anti-Harassment Act of 2011
108#house_bill=910,108,910,house_bill,False,referred,Fair Disbursement of Offshore Oil Revenue Act of 2003
111#house_bill=2933,111,2933,house_bill,False,referred,Firearm Recidivist Sentencing Act of 2009
111#house_bill=2930,111,2930,house_bill,False,referred,Primary Care Training Enhancement Act
111#house_bill=2931,111,2931,house_bill,False,referred,Kyle Barthel Veterans and Service Members Mental Health Screening Act
111#house_bill=2936,111,2936,house_bill,False,referred,Bill to Underwrite Increased Lending to Domestic (BUILD) Manufacturing Act
110#house_bill=4609,110,4609,house_bill,False,referred,To extend the temporary suspension of duty on FOE Hydroxy.
111#house_bill=2935,111,2935,house_bill,False,referred,Travel Promotion Act of 2009
111#house_bill=2939,111,2939,house_bill,False,referred,Oncology Care Quality Improvement Act of 2009
111#house_bill=4340,111,4340,house_bill,False,referred,Main Street Survival Act
110#house_resolution=41,110,41,house_resolution,False,referred,Expressing the sense of the House of Representatives that an increase in number of members of the United States Forces deployed in Iraq is the wrong course of action and that a drastic shift in the political and diplomatic strategy of the United States is needed to help secure and stabilize Iraq.
112#house_bill=2162,112,2162,house_bill,False,referred,Congressional Integrity and Pension Forfeiture Act of 2011
107#house_bill=5023,107,5023,house_bill,False,referred,Dirty Bomb Prevention Act
110#house_bill=2726,110,2726,house_bill,False,referred,Law Enforcement Officers Safety Act of 2007
111#house_bill=5625,111,5625,house_bill,False,referred,Permanent Prevention of Asian Carp Act of 2010
110#house_bill=2725,110,2725,house_bill,False,referred,Alarm Customer VOIP Notification Act of 2007
111#house_bill=5622,111,5622,house_bill,False,referred,Stop Outsourcing and Create American Jobs Act of 2010
110#house_bill=2720,110,2720,house_bill,False,referred,FARM 21 Act of 2007
110#house_bill=6955,110,6955,house_bill,False,referred,Taxpayer Reimbursement Act of 2008
111#house_bill=901,111,901,house_bill,False,referred,Medical Bankruptcy Fairness Act
111#house_bill=906,111,906,house_bill,False,referred,Housing Disaster Area Foreclosure Prevention Act of 2009
111#house_bill=905,111,905,house_bill,False,pass_over_house,Thunder Bay National Marine Sanctuary and Underwater Preserve Boundary Modification Act
